coach,year,team,position,squad
Troy Calhoun,2020,Air Force,HC,2020 Air Force
Tom Arth,2020,Akron,HC,2020 Akron
Nick Saban,2020,Alabama,HC,2020 Alabama
Shawn Clark,2020,Appalachian State,HC,2020 Appalachian State
Kevin Sumlin,2020,Arizona,HC,2020 Arizona
Herm Edwards,2020,Arizona State,HC,2020 Arizona State
Sam Pittman,2020,Arkansas,HC,2020 Arkansas
Blake Anderson,2020,Arkansas State,HC,2020 Arkansas State
Jeff Monken,2020,Army,HC,2020 Army
Gus Malzahn,2020,Auburn,HC,2020 Auburn
Mike Neu,2020,Ball State,HC,2020 Ball State
Dave Aranda,2020,Baylor,HC,2020 Baylor
Bryan Harsin,2020,Boise State,HC,2020 Boise State
Jeff Hafley ,2020,Boston College,HC,2020 Boston College
Scot Loeffler,2020,Bowling Green,HC,2020 Bowling Green
Lance Leipold,2020,Buffalo,HC,2020 Buffalo
Kalani Sitake,2020,BYU,HC,2020 BYU
Justin Wilcox,2020,California,HC,2020 California
Josh Heupel,2020,Central Florida,HC,2020 Central Florida
Jim McElwain,2020,Central Michigan,HC,2020 Central Michigan
Will Healy,2020,Charlotte,HC,2020 Charlotte
Luke Fickell,2020,Cincinnati,HC,2020 Cincinnati
Dabo Swinney,2020,Clemson,HC,2020 Clemson
Joe Moglia,2020,Coastal Carolina,HC,2020 Coastal Carolina
Darrin Chiaverini,2020,Colorado,HC,2020 Colorado
Steve Addazio,2020,Colorado State,HC,2020 Colorado State
Randy Edsall,2020,Connecticut,HC,2020 Connecticut
David Cutcliffe,2020,Duke,HC,2020 Duke
Mike Houston,2020,East Carolina,HC,2020 East Carolina
Chris Creighton,2020,Eastern Michigan,HC,2020 Eastern Michigan
Dan Mullen,2020,Florida,HC,2020 Florida
Willie Taggart,2020,Florida Atlantic,HC,2020 Florida Atlantic
Butch Davis,2020,Florida International,HC,2020 Florida International
Mike Norvell,2020,Florida State,HC,2020 Florida State
Kalen DeBoer,2020,Fresno State,HC,2020 Fresno State
Kirby Smart,2020,Georgia,HC,2020 Georgia
Chad Lunsford,2020,Georgia Southern,HC,2020 Georgia Southern
Shawn Elliott,2020,Georgia State,HC,2020 Georgia State
Geoff Collins,2020,Georgia Tech,HC,2020 Georgia Tech
Todd Graham,2020,Hawaii,HC,2020 Hawaii
Dana Holgorsen,2020,Houston,HC,2020 Houston
Lovie Smith,2020,Illinois,HC,2020 Illinois
Tom Allen,2020,Indiana,HC,2020 Indiana
Kirk Ferentz,2020,Iowa,HC,2020 Iowa
Matt Campbell,2020,Iowa State,HC,2020 Iowa State
Les Miles,2020,Kansas,HC,2020 Kansas
Chris Klieman,2020,Kansas State,HC,2020 Kansas State
Sean Lewis,2020,Kent State,HC,2020 Kent State
Mark Stoops,2020,Kentucky,HC,2020 Kentucky
Hugh Freeze,2020,Liberty,HC,2020 Liberty
Skip Holtz,2020,Louisiana Tech,HC,2020 Louisiana Tech
Billy Napier,2020,Louisiana-Lafayette,HC,2020 Louisiana-Lafayette
Matt Viator,2020,Louisiana-Monroe,HC,2020 Louisiana-Monroe
Scott Satterfield,2020,Louisville,HC,2020 Louisville
Ed Orgeron,2020,LSU,HC,2020 LSU
Doc Holliday,2020,Marshall,HC,2020 Marshall
Mike Locksley,2020,Maryland,HC,2020 Maryland
Walt Bell,2020,Massachusetts,HC,2020 Massachusetts
Manny Diaz,2020,Miami FL,HC,2020 Miami FL
Chuck Martin,2020,Miami OH,HC,2020 Miami OH
Jim Harbaugh,2020,Michigan,HC,2020 Michigan
